Performance of the DrAV models measured by mean Poisson deviation.,,,,,,,,,
,QB ,RB ,WR ,TE ,OL ,DE ,DT ,LB ,DB 
Base ,26.2 ,13.2 ,15.1 ,8.1 ,11.3 ,18.9 ,12.5 ,11.7 ,7.4 
Constructed ,25.5 ,12.9 ,14.9 ,8.0 ,10.6 ,13.1 ,11.4 ,11.5 ,7.4 
Performance of the draft pick models measured by mean squared error and scaled.,,,,,,,,,
Position ,QB ,RB ,WR ,TE ,OL ,DE ,DT ,LB ,DB 
Base ,7.15 ,4.93 ,5.24 ,4.61 ,5.44 ,5.99 ,5.71 ,4.84 ,4.84 
Constructed ,7.16 ,4.01 ,5.10 ,3.96 ,5.11 ,5.24 ,5.52 ,4.43 ,4.31 
