Tm,W,L,T,W-L,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS,Year
SEA,5,11,0,0.313,280,390,-110,-6.9,-2.4,-9.3,-5,-4.4,2009
SEA,4,12,0,0.25,294,392,-98,-6.1,-1.5,-7.6,-4.9,-2.8,2008
SEA,10,6,0,0.625,393,291,102,6.4,-4.6,1.8,0.8,0.9,2007
SEA,9,7,0,0.563,335,341,-6,-0.4,-3.2,-3.6,-1.7,-1.9,2006
SEA,13,3,0,0.813,452,271,181,11.3,-2.2,9.1,5.8,3.4,2005
SEA,9,7,0,0.563,371,373,-2,-0.1,-2.8,-2.9,0.4,-3.3,2004
SEA,10,6,0,0.625,404,327,77,4.8,-0.7,4.1,3.6,0.5,2003
SEA,7,9,0,0.438,355,369,-14,-0.9,-0.4,-1.3,0,-1.2,2002
TAM,9,8,0,0.529,348,325,23,1.4,-0.3,1.1,-1.6,2.7,2023
TAM,8,9,0,0.471,313,358,-45,-2.6,0.4,-2.3,-3.3,1.1,2022
TAM,13,4,0,0.765,511,353,158,9.3,-0.7,8.6,7.3,1.3,2021
TAM,11,5,0,0.688,492,355,137,8.6,0.8,9.4,6.5,2.8,2020
TAM,7,9,0,0.438,458,449,9,0.6,-0.2,0.4,4.9,-4.5,2019
TAM,5,11,0,0.313,396,464,-68,-4.3,1.7,-2.6,2,-4.6,2018
TAM,5,11,0,0.313,335,382,-47,-2.9,1.7,-1.3,0.4,-1.7,2017
TAM,9,7,0,0.563,354,369,-15,-0.9,0.7,-0.2,-1.5,1.3,2016
TAM,6,10,0,0.375,342,417,-75,-4.7,-3,-7.7,-3.5,-4.2,2015
TAM,2,14,0,0.125,277,410,-133,-8.3,-1.5,-9.8,-6.5,-3.3,2014
TAM,4,12,0,0.25,288,389,-101,-6.3,3.6,-2.7,-2.9,0.3,2013
TAM,7,9,0,0.438,389,394,-5,-0.3,0.3,0,1.3,-1.3,2012
TAM,4,12,0,0.25,287,494,-207,-12.9,2.3,-10.6,-4,-6.6,2011
TAM,10,6,0,0.625,341,318,23,1.4,-2,-0.6,-1,0.4,2010
TAM,3,13,0,0.188,244,400,-156,-9.8,4.1,-5.6,-4.6,-1.1,2009
TAM,9,7,0,0.563,361,323,38,2.4,-0.1,2.3,-0.6,2.9,2008
TAM,9,7,0,0.563,334,270,64,4,-2.8,1.2,-2.3,3.6,2007
TAM,4,12,0,0.25,211,353,-142,-8.9,0.9,-7.9,-7.2,-0.8,2006
TAM,11,5,0,0.688,300,274,26,1.6,-2.6,-1,-2.8,1.8,2005
TAM,5,11,0,0.313,301,304,-3,-0.2,-2.5,-2.7,-4,1.3,2004
TAM,7,9,0,0.438,301,264,37,2.3,-0.7,1.6,-2.9,4.5,2003
TAM,12,4,0,0.75,346,196,150,9.4,-0.6,8.8,-1,9.8,2002
TEN,6,11,0,0.353,305,367,-62,-3.6,0.4,-3.2,-4,0.7,2023
TEN,7,10,0,0.412,298,359,-61,-3.6,0,-3.6,-4.7,1.1,2022
TEN,12,5,0,0.706,419,354,65,3.8,-0.4,3.4,1.8,1.6,2021
TEN,11,5,0,0.688,491,439,52,3.3,-1.7,1.6,4.7,-3.1,2020
TEN,9,7,0,0.563,402,331,71,4.4,-1,3.4,1.8,1.7,2019
TEN,9,7,0,0.563,310,303,7,0.4,-0.2,0.2,-3.2,3.5,2018
TEN,9,7,0,0.563,334,356,-22,-1.4,-2.1,-3.5,-2,-1.5,2017
TEN,9,7,0,0.563,381,378,3,0.2,-1.2,-1,0.7,-1.7,2016
TEN,3,13,0,0.188,299,423,-124,-7.8,-2.8,-10.5,-5.9,-4.6,2015
TEN,2,14,0,0.125,254,438,-184,-11.5,-0.3,-11.8,-7,-4.9,2014
TEN,7,9,0,0.438,362,381,-19,-1.2,0.4,-0.8,-0.2,-0.6,2013
TEN,6,10,0,0.375,330,471,-141,-8.8,-1.2,-10,-2.6,-7.4,2012
TEN,9,7,0,0.563,325,317,8,0.5,-1.5,-1,-2.2,1.2,2011
TEN,6,10,0,0.375,356,339,17,1.1,0,1,-0.9,1.9,2010
TEN,8,8,0,0.5,354,402,-48,-3,0.2,-2.8,0.9,-3.6,2009
TEN,13,3,0,0.813,375,234,141,8.8,0.1,8.9,1.5,7.5,2008
TEN,10,6,0,0.625,301,297,4,0.3,0.5,0.7,-2.9,3.6,2007
TEN,8,8,0,0.5,324,400,-76,-4.8,3.5,-1.3,1,-2.3,2006
TEN,4,12,0,0.25,299,421,-122,-7.6,0.1,-7.6,-2,-5.5,2005
TEN,5,11,0,0.313,344,439,-95,-5.9,1.5,-4.4,0.3,-4.6,2004
TEN,12,4,0,0.75,435,324,111,6.9,-0.5,6.5,7,-0.5,2003
TEN,11,5,0,0.688,367,324,43,2.7,-0.9,1.8,1.6,0.1,2002
WAS,4,13,0,0.235,329,518,-189,-11.1,0,-11.1,-2.8,-8.4,2023
WAS,8,8,1,0.5,321,343,-22,-1.3,0.4,-0.9,-3.5,2.6,2022
WAS,3,13,0,0.188,266,435,-169,-10.6,-0.2,-10.8,-6.3,-4.5,2019
WAS,7,9,0,0.438,281,359,-78,-4.9,-0.1,-4.9,-5.6,0.6,2018
WAS,7,9,0,0.438,342,388,-46,-2.9,1.6,-1.3,0.5,-1.8,2017
WAS,8,7,1,0.531,396,383,13,0.8,1.2,2,3.3,-1.3,2016
WAS,9,7,0,0.563,388,379,9,0.6,-2.5,-1.9,-0.2,-1.8,2015
WAS,4,12,0,0.25,301,438,-137,-8.6,-0.2,-8.7,-4,-4.7,2014
WAS,3,13,0,0.188,334,478,-144,-9,-0.3,-9.3,-3.9,-5.4,2013
WAS,10,6,0,0.625,436,388,48,3,0.4,3.4,4.6,-1.2,2012
