Tm,W,L,T,W-L,PF,PA,PD,MoV,SoS,SRS,OSRS,DSRS,Year
WAS,5,11,0,0.313,288,367,-79,-4.9,0.8,-4.1,-4.3,0.2,2011
WAS,6,10,0,0.375,302,377,-75,-4.7,0.9,-3.8,-3.4,-0.5,2010
WAS,4,12,0,0.25,266,336,-70,-4.4,-0.2,-4.6,-5.5,1,2009
WAS,8,8,0,0.5,265,296,-31,-1.9,0.2,-1.8,-5.8,4.1,2008
WAS,9,7,0,0.563,334,310,24,1.5,3,4.5,0.2,4.3,2007
WAS,5,11,0,0.313,307,376,-69,-4.3,0.3,-4,-2.1,-2,2006
WAS,10,6,0,0.625,359,293,66,4.1,1.9,6,2.6,3.4,2005
WAS,6,10,0,0.375,240,265,-25,-1.6,-1.8,-3.4,-7.4,4,2004
WAS,5,11,0,0.313,287,372,-85,-5.3,-0.4,-5.7,-1.9,-3.8,2003
WAS,7,9,0,0.438,307,365,-58,-3.6,-0.8,-4.5,-2.2,-2.2,2002
WAS,7,10,0,0.412,335,434,-99,-5.8,1.6,-4.2,-2.7,-1.5,2021
WAS,7,9,0,0.438,335,329,6,0.4,-1.2,-0.8,-4.1,3.2,2020
