Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Tag,Year
2,48,SEA,Darrell Taylor,DE,23,2023,0,0,0,9,9,49,TaylDa00,2020
2,49,PIT,Chase Claypool,WR,22,2023,0,0,1,19,17,58,ClayCh01,2020
2,50,CHI,Jaylon Johnson,CB,21,2023,0,1,3,22,22,53,JohnJa13,2020
2,51,DAL,Trevon Diggs,CB,21,2023,1,2,3,28,28,47,DiggTr00,2020
2,52,LAR,Cam Akers,RB,21,2023,0,0,1,11,10,36,AkerCa00,2020
2,53,PHI,Jalen Hurts,QB,22,2023,0,2,2,56,56,62,HurtJa00,2020
2,54,BUF,A.J. Epenesa,DE,21,2023,0,0,0,10,10,58,EpenAJ00,2020
2,55,BAL,J.K. Dobbins,RB,21,2023,0,0,0,11,11,24,DobbJK00,2020
2,56,MIA,Raekwon Davis,DT,23,2023,0,0,3,22,22,63,DaviRa03,2020
2,57,LAR,Van Jefferson,WR,24,2023,0,0,2,14,13,61,JeffVa00,2020
2,58,MIN,Ezra Cleveland,T,22,2023,0,0,3,21,18,62,ClevEz00,2020
2,59,NYJ,Denzel Mims,WR,22,2022,0,0,1,5,5,30,MimsDe00,2020
2,60,NWE,Josh Uche,LB,21,2023,0,0,0,8,8,51,UcheJo00,2020
2,61,TEN,Kristian Fulton,CB,22,2023,0,0,2,13,13,42,FultKr00,2020
2,62,GNB,AJ Dillon,RB,22,2023,0,0,0,23,23,60,DillAJ00,2020
2,63,KAN,Willie Gay Jr.,LB,22,2023,0,0,3,22,22,57,GayJWi00,2020
2,64,CAR,Jeremy Chinn,S,22,2023,0,0,3,33,33,54,ChinJe00,2020
3,65,CIN,Logan Wilson,LB,24,2023,0,0,2,25,25,57,WilsLo00,2020
3,66,WAS,Antonio Gibson,RB,22,2023,0,0,2,23,23,61,GibsAn00,2020
3,67,DET,Julian Okwara,DE,22,2023,0,0,0,4,4,38,OkwaJu00,2020
3,68,NYJ,Ashtyn Davis,S,23,2023,0,0,1,9,9,54,DaviAs00,2020
3,69,SEA,Damien Lewis,G,23,2023,0,0,3,26,26,61,LewiDa05,2020
3,70,MIA,Brandon Jones,S,22,2023,0,0,1,11,11,54,JoneBr06,2020
3,71,BAL,Justin Madubuike,DT,22,2023,0,1,2,29,29,59,MaduJu00,2020
3,72,ARI,Josh Jones,T,23,2023,0,0,2,14,13,60,JoneJo07,2020
3,73,JAX,DaVon Hamilton,DT,23,2023,0,0,1,13,13,52,HamiDa02,2020
3,74,NOR,Zack Baun,LB,23,2023,0,0,0,10,10,62,BaunZa00,2020
3,75,DET,Jonah Jackson,G,23,2023,0,1,3,25,25,57,JackJo03,2020
3,76,TAM,Ke'Shawn Vaughn,RB,23,2023,0,0,0,2,2,43,VaugKe00,2020
3,77,DEN,Michael Ojemudia,CB,22,2022,0,0,0,4,4,22,OjemMi00,2020
